time,D,I,R,S,total_population
0.0,0.0,3.0,0.0,997.0,1000.0
30.0,98.59418808748228,576.0670134815663,267.6261355196718,57.712662911279445,907.3049327861678
60.0,230.65248404214694,366.63071989547564,319.0702877841846,83.64650827819274,773.0396593849625
90.0,332.13973841587057,314.19375779627825,277.6463635011905,76.02014028666065,671.0169899939405
120.0,420.06786020005245,272.9238284857061,241.02681442087544,65.98149689336607,582.6742772591567

