,date,forecast_date,forecast,truth,quantile,location
14,2020-07-25,2020-07-20,26563.0,25308,,13
6,2020-08-01,2020-07-27,23500.0,24824,,13
18,2020-08-08,2020-08-03,23480.0,23415,,13
3,2020-08-15,2020-08-10,22427.0,21741,,13
23,2020-08-22,2020-08-17,19199.0,17054,,13
19,2020-08-29,2020-08-24,15150.0,15536,,13
48,2020-09-05,2020-08-31,13209.0,13790,,13
43,2020-09-12,2020-09-07,13403.0,11357,,13
21,2020-09-19,2020-09-14,10929.0,12116,,13
27,2020-09-26,2020-09-21,10917.0,8852,,13
40,2020-10-03,2020-09-28,8387.0,8296,,13
7,2020-10-10,2020-10-05,7677.0,8100,,13
13,2020-10-17,2020-10-12,7628.0,9115,,13
11,2020-10-24,2020-10-19,8503.0,10221,,13
29,2020-10-31,2020-10-26,9738.0,11185,,13
0,2020-11-07,2020-11-02,10838.0,44247,,13
28,2020-11-14,2020-11-09,11509.0,17868,,13
42,2020-11-21,2020-11-16,18465.0,23899,,13
37,2020-11-28,2020-11-23,23356.0,20760,,13
41,2020-12-05,2020-11-30,21566.0,31807,,13
10,2020-12-12,2020-12-07,31807.0,38669,,13
36,2020-12-19,2020-12-14,41846.0,44260,,13
46,2020-12-26,2020-12-21,47678.0,46488,,13
30,2021-01-02,2020-12-28,46976.0,56334,,13
50,2021-01-09,2021-01-04,56728.0,63730,,13
22,2021-01-16,2021-01-11,67258.0,60811,,13
45,2021-01-23,2021-01-18,64206.0,52495,,13
31,2021-01-30,2021-01-25,51655.0,43700,,13
20,2021-02-06,2021-02-01,42319.0,31544,,13
5,2021-02-13,2021-02-08,30199.0,25406,,13
34,2021-02-20,2021-02-15,21458.0,20939,,13
47,2021-02-27,2021-02-22,17019.0,20440,,13
44,2021-03-06,2021-03-01,18531.0,17591,,13
32,2021-03-13,2021-03-08,15426.0,11189,,13
24,2021-03-20,2021-03-15,11050.0,11167,,13
9,2021-03-27,2021-03-22,11019.0,10296,,13
1,2021-04-03,2021-03-29,10023.0,9250,,13
16,2021-04-10,2021-04-05,9158.0,9020,,13
35,2021-04-17,2021-04-12,8793.0,10600,,13
4,2021-04-24,2021-04-19,10458.0,9552,,13
38,2021-05-01,2021-04-26,9320.0,8635,,13
15,2021-05-08,2021-05-03,8689.0,7843,,13
26,2021-05-15,2021-05-10,7273.0,5742,,13
2,2021-05-22,2021-05-17,5221.0,4542,,13
17,2021-05-29,2021-05-24,4086.0,3729,,13
12,2021-06-05,2021-05-31,3007.0,2511,,13
33,2021-06-12,2021-06-07,2431.0,2613,,13
25,2021-06-19,2021-06-14,2455.0,2378,,13
39,2021-06-26,2021-06-21,2274.0,2218,,13
8,2021-07-03,2021-06-28,2147.0,2463,,13
49,2021-07-10,2021-07-05,2336.0,3870,,13
