,date,forecast_date,forecast,truth,quantile,location
13,2020-08-08,2020-07-20,32664.0,23415,,13
6,2020-08-15,2020-07-27,21908.0,21741,,13
17,2020-08-22,2020-08-03,21102.0,17054,,13
3,2020-08-29,2020-08-10,18602.0,15536,,13
22,2020-09-05,2020-08-17,15980.0,13790,,13
18,2020-09-12,2020-08-24,12491.0,11357,,13
47,2020-09-19,2020-08-31,12471.0,12116,,13
42,2020-09-26,2020-09-07,11782.0,8852,,13
20,2020-10-03,2020-09-14,9299.0,8296,,13
26,2020-10-10,2020-09-21,9262.0,8100,,13
39,2020-10-17,2020-09-28,7432.0,9115,,13
7,2020-10-24,2020-10-05,6745.0,10221,,13
12,2020-10-31,2020-10-12,5410.0,11185,,13
10,2020-11-07,2020-10-19,7387.0,44247,,13
28,2020-11-14,2020-10-26,9823.0,17868,,13
0,2020-11-21,2020-11-02,11193.0,23899,,13
27,2020-11-28,2020-11-09,11669.0,20760,,13
41,2020-12-05,2020-11-16,19282.0,31807,,13
36,2020-12-12,2020-11-23,29580.0,38669,,13
40,2020-12-19,2020-11-30,20744.0,44260,,13
9,2020-12-26,2020-12-07,36006.0,46488,,13
35,2021-01-02,2020-12-14,45125.0,56334,,13
45,2021-01-09,2020-12-21,49303.0,63730,,13
29,2021-01-16,2020-12-28,46901.0,60811,,13
48,2021-01-23,2021-01-04,57568.0,52495,,13
21,2021-01-30,2021-01-11,69416.0,43700,,13
44,2021-02-06,2021-01-18,64253.0,31544,,13
30,2021-02-13,2021-01-25,45851.0,25406,,13
19,2021-02-20,2021-02-01,40338.0,20939,,13
5,2021-02-27,2021-02-08,23320.0,20440,,13
33,2021-03-06,2021-02-15,14967.0,17591,,13
46,2021-03-13,2021-02-22,13147.0,11189,,13
43,2021-03-20,2021-03-01,15015.0,11167,,13
31,2021-03-27,2021-03-08,12494.0,10296,,13
23,2021-04-03,2021-03-15,8142.0,9250,,13
8,2021-04-10,2021-03-22,9956.0,9020,,13
1,2021-04-17,2021-03-29,9356.0,10600,,13
15,2021-04-24,2021-04-05,8007.0,9552,,13
34,2021-05-01,2021-04-12,8254.0,8635,,13
4,2021-05-08,2021-04-19,10762.0,7843,,13
37,2021-05-15,2021-04-26,9198.0,5742,,13
14,2021-05-22,2021-05-03,7486.0,4542,,13
25,2021-05-29,2021-05-10,5637.0,3729,,13
2,2021-06-05,2021-05-17,3810.0,2511,,13
16,2021-06-12,2021-05-24,2570.0,2613,,13
11,2021-06-19,2021-05-31,2184.0,2378,,13
32,2021-06-26,2021-06-07,1665.0,2218,,13
24,2021-07-03,2021-06-14,2138.0,2463,,13
38,2021-07-10,2021-06-21,1995.0,3870,,13
