,date,forecast_date,forecast,truth,quantile,location
13,2020-08-15,2020-07-20,34474.0,21741,,13
6,2020-08-22,2020-07-27,21018.0,17054,,13
17,2020-08-29,2020-08-03,20203.0,15536,,13
3,2020-09-05,2020-08-10,17584.0,13790,,13
22,2020-09-12,2020-08-17,14750.0,11357,,13
18,2020-09-19,2020-08-24,11772.0,12116,,13
46,2020-09-26,2020-08-31,11640.0,8852,,13
41,2020-10-03,2020-09-07,10531.0,8296,,13
20,2020-10-10,2020-09-14,8254.0,8100,,13
26,2020-10-17,2020-09-21,8514.0,9115,,13
38,2020-10-24,2020-09-28,6593.0,10221,,13
7,2020-10-31,2020-10-05,6372.0,11185,,13
12,2020-11-07,2020-10-12,4682.0,44247,,13
10,2020-11-14,2020-10-19,6971.0,17868,,13
28,2020-11-21,2020-10-26,9828.0,23899,,13
0,2020-11-28,2020-11-02,11135.0,20760,,13
27,2020-12-05,2020-11-09,11960.0,31807,,13
40,2020-12-12,2020-11-16,18957.0,38669,,13
36,2020-12-19,2020-11-23,29358.0,44260,,13
39,2020-12-26,2020-11-30,20118.0,46488,,13
9,2021-01-02,2020-12-07,38784.0,56334,,13
35,2021-01-09,2020-12-14,46871.0,63730,,13
44,2021-01-16,2020-12-21,49446.0,60811,,13
29,2021-01-23,2020-12-28,46974.0,52495,,13
47,2021-01-30,2021-01-04,58554.0,43700,,13
21,2021-02-06,2021-01-11,69369.0,31544,,13
43,2021-02-13,2021-01-18,63492.0,25406,,13
30,2021-02-20,2021-01-25,44224.0,20939,,13
19,2021-02-27,2021-02-01,37745.0,20440,,13
5,2021-03-06,2021-02-08,20512.0,17591,,13
33,2021-03-13,2021-02-15,13656.0,11189,,13
45,2021-03-20,2021-02-22,12394.0,11167,,13
42,2021-03-27,2021-03-01,14532.0,10296,,13
31,2021-04-03,2021-03-08,11940.0,9250,,13
23,2021-04-10,2021-03-15,6681.0,9020,,13
8,2021-04-17,2021-03-22,9278.0,10600,,13
1,2021-04-24,2021-03-29,8713.0,9552,,13
15,2021-05-01,2021-04-05,7849.0,8635,,13
34,2021-05-08,2021-04-12,8505.0,7843,,13
4,2021-05-15,2021-04-19,10934.0,5742,,13
37,2021-05-22,2021-04-26,8168.0,4542,,13
14,2021-05-29,2021-05-03,6645.0,3729,,13
25,2021-06-05,2021-05-10,4989.0,2511,,13
2,2021-06-12,2021-05-17,3399.0,2613,,13
16,2021-06-19,2021-05-24,2083.0,2378,,13
11,2021-06-26,2021-05-31,2034.0,2218,,13
32,2021-07-03,2021-06-07,1617.0,2463,,13
24,2021-07-10,2021-06-14,2028.0,3870,,13
